date,run_id,dataset,embedding,preprocessing,image_width,seed,val_acc,val_loss,status
2026-01-17/16-03-43,93,stl10,ZZFeatureMap,GaussianBlur,,0,0.6431746031746032,0.6335535446802775,OK
2026-01-17/16-03-43,94,stl10,AngleEncoding,GaussianBlur,,0,0.6902380952380952,0.624285618464152,OK
2026-01-17/16-03-43,95,stl10,RMP,GaussianBlur,,0,0.5064285714285713,0.6872819463411967,OK
2026-01-17/16-03-43,96,stl10,ZZFeatureMap,ContrastScaling,,0,0.6703174603174604,0.64385653535525,OK
2026-01-17/16-03-43,97,stl10,AngleEncoding,ContrastScaling,,0,0.7632539682539683,0.602600614229838,OK
2026-01-17/16-03-43,98,stl10,RMP,ContrastScaling,,0,0.5064285714285713,0.685472697019577,OK
2026-01-17/16-03-43,99,stl10,ZZFeatureMap,MedianBlur,,0,0.6311111111111111,0.638432135184606,OK
2026-01-17/16-03-43,100,stl10,AngleEncoding,MedianBlur,,0,0.7065079365079366,0.6228680113951365,OK
2026-01-17/16-03-43,101,stl10,RMP,MedianBlur,,0,0.5064285714285713,0.6870224078496298,OK
2026-01-17/16-03-43,102,stl10,ZZFeatureMap,BilateralFilter,,0,0.6369047619047619,0.633018950621287,OK
2026-01-17/16-03-43,103,stl10,AngleEncoding,BilateralFilter,,0,0.6969047619047619,0.6237560013930002,OK
2026-01-17/16-03-43,104,stl10,RMP,BilateralFilter,,0,0.5064285714285713,0.6871878802776337,OK
2026-01-17/16-03-43,105,stl10,ZZFeatureMap,HomomorphicFilter,,0,0.6711111111111112,0.6385690271854401,OK
2026-01-17/16-03-43,106,stl10,AngleEncoding,HomomorphicFilter,,0,0.669047619047619,0.6494761010011038,OK
2026-01-17/16-03-43,107,stl10,RMP,HomomorphicFilter,,0,0.5064285714285713,0.6918153564135233,OK

